n,r,m
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Enhancement of piezoelectric properties and temperature stability of high-Curie temperature CaBi2Nb2O9 ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117101})",[:USED_PRECURSOR],(:Precursor {name: Bi2O3})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Enhancement of piezoelectric properties and temperature stability of high-Curie temperature CaBi2Nb2O9 ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117101})",[:USED_PRECURSOR],(:Precursor {name: Li2CO3})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Enhancement of piezoelectric properties and temperature stability of high-Curie temperature CaBi2Nb2O9 ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117101})",[:USED_PRECURSOR],(:Precursor {name: CeO2})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Enhancement of piezoelectric properties and temperature stability of high-Curie temperature CaBi2Nb2O9 ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117101})",[:USED_PRECURSOR],(:Precursor {name: WO3})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Enhancement of piezoelectric properties and temperature stability of high-Curie temperature CaBi2Nb2O9 ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117101})",[:USED_PRECURSOR],(:Precursor {name: MoO3})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Enhancement of piezoelectric properties and temperature stability of high-Curie temperature CaBi2Nb2O9 ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117101})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: XRD})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Enhancement of piezoelectric properties and temperature stability of high-Curie temperature CaBi2Nb2O9 ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117101})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: SEM})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Enhancement of piezoelectric properties and temperature stability of high-Curie temperature CaBi2Nb2O9 ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117101})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: Raman spectroscopy})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Enhancement of piezoelectric properties and temperature stability of high-Curie temperature CaBi2Nb2O9 ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117101})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: Impedance analyzer})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Enhancement of piezoelectric properties and temperature stability of high-Curie temperature CaBi2Nb2O9 ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117101})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: X-ray photoelectron spectroscopy (XPS)})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Enhancement of piezoelectric properties and temperature stability of high-Curie temperature CaBi2Nb2O9 ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117101})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: Ferroelectric test system})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Enhancement of piezoelectric properties and temperature stability of high-Curie temperature CaBi2Nb2O9 ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117101})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: Quasi-static piezoelectric coefficient meter})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Enhancement of piezoelectric properties and temperature stability of high-Curie temperature CaBi2Nb2O9 ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117101})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: Electrochemical workstation})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Enhancement of piezoelectric properties and temperature stability of high-Curie temperature CaBi2Nb2O9 ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117101})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: UV spectrophotometer})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Enhancement of piezoelectric properties and temperature stability of high-Curie temperature CaBi2Nb2O9 ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117101})",[:HAS_KEYWORD],(:Keyword {name: Ferroelectric ceramics})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Enhancement of piezoelectric properties and temperature stability of high-Curie temperature CaBi2Nb2O9 ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117101})",[:HAS_KEYWORD],(:Keyword {name: Aurivillius-type})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Enhancement of piezoelectric properties and temperature stability of high-Curie temperature CaBi2Nb2O9 ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117101})",[:HAS_KEYWORD],(:Keyword {name: CaBi2Nb2O9})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Enhancement of piezoelectric properties and temperature stability of high-Curie temperature CaBi2Nb2O9 ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117101})",[:HAS_KEYWORD],(:Keyword {name: Thermal stability})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Enhancement of piezoelectric properties and temperature stability of high-Curie temperature CaBi2Nb2O9 ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117101})",[:HAS_KEYWORD],(:Keyword {name: Bismuth})
"(:Author {name: Biao Zhang,affiliation_id: 60006356})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: Guilin University of Technology,affiliation_id: 60006356})"
"(:Author {name: Biao Zhang,affiliation_id: 60006356})",[:WROTE],"(:Paper {journal: Materials Today Physics,year: 2024,title: Achieving ultra-high resistivity and outstanding piezoelectric properties by co-substitution in CaBi2Nb2O9 ceramics,isOpenAccess: false,doi: 10.1016/j.mtphys.2024.101598})"
"(:Author {name: Biao Zhang,affiliation_id: 60006356})",[:WROTE],"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Enhancement of piezoelectric properties and temperature stability of high-Curie temperature CaBi2Nb2O9 ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117101})"
"(:Author {name: Shuhang Yu,affiliation_id: 60006356})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: Guilin University of Technology,affiliation_id: 60006356})"
"(:Author {name: Shuhang Yu,affiliation_id: 60006356})",[:WROTE],"(:Paper {journal: Materials Today Physics,year: 2024,title: Achieving ultra-high resistivity and outstanding piezoelectric properties by co-substitution in CaBi2Nb2O9 ceramics,isOpenAccess: false,doi: 10.1016/j.mtphys.2024.101598})"
"(:Author {name: Shuhang Yu,affiliation_id: 60006356})",[:WROTE],"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Enhancement of piezoelectric properties and temperature stability of high-Curie temperature CaBi2Nb2O9 ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117101})"
"(:Author {name: Qiantong Li,affiliation_id: 60006356})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: Guilin University of Technology,affiliation_id: 60006356})"
"(:Author {name: Qiantong Li,affiliation_id: 60006356})",[:WROTE],"(:Paper {journal: Materials Today Physics,year: 2024,title: Achieving ultra-high resistivity and outstanding piezoelectric properties by co-substitution in CaBi2Nb2O9 ceramics,isOpenAccess: false,doi: 10.1016/j.mtphys.2024.101598})"
"(:Author {name: Qiantong Li,affiliation_id: 60006356})",[:WROTE],"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Enhancement of piezoelectric properties and temperature stability of high-Curie temperature CaBi2Nb2O9 ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117101})"
"(:Author {name: Zhihong Luo,affiliation_id: 60006356})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: Guilin University of Technology,affiliation_id: 60006356})"
"(:Author {name: Zhihong Luo,affiliation_id: 60006356})",[:WROTE],"(:Paper {journal: Materials Today Physics,year: 2024,title: Achieving ultra-high resistivity and outstanding piezoelectric properties by co-substitution in CaBi2Nb2O9 ceramics,isOpenAccess: false,doi: 10.1016/j.mtphys.2024.101598})"
"(:Author {name: Zhihong Luo,affiliation_id: 60006356})",[:WROTE],"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Enhancement of piezoelectric properties and temperature stability of high-Curie temperature CaBi2Nb2O9 ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117101})"
"(:Author {name: Wangxin Li,affiliation_id: 60006356})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: Guilin University of Technology,affiliation_id: 60006356})"
"(:Author {name: Wangxin Li,affiliation_id: 60006356})",[:WROTE],"(:Paper {journal: Materials Today Physics,year: 2024,title: Achieving ultra-high resistivity and outstanding piezoelectric properties by co-substitution in CaBi2Nb2O9 ceramics,isOpenAccess: false,doi: 10.1016/j.mtphys.2024.101598})"
"(:Author {name: Wangxin Li,affiliation_id: 60006356})",[:WROTE],"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Enhancement of piezoelectric properties and temperature stability of high-Curie temperature CaBi2Nb2O9 ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117101})"
"(:Author {name: Mingmei Lin,affiliation_id: 60006356})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: Guilin University of Technology,affiliation_id: 60006356})"
"(:Author {name: Mingmei Lin,affiliation_id: 60006356})",[:WROTE],"(:Paper {journal: Materials Today Physics,year: 2024,title: Achieving ultra-high resistivity and outstanding piezoelectric properties by co-substitution in CaBi2Nb2O9 ceramics,isOpenAccess: false,doi: 10.1016/j.mtphys.2024.101598})"
"(:Author {name: Mingmei Lin,affiliation_id: 60006356})",[:WROTE],"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Enhancement of piezoelectric properties and temperature stability of high-Curie temperature CaBi2Nb2O9 ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117101})"
"(:Author {name: Junhui Lang,affiliation_id: 60006356})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: Guilin University of Technology,affiliation_id: 60006356})"
"(:Author {name: Junhui Lang,affiliation_id: 60006356})",[:WROTE],"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Enhancement of piezoelectric properties and temperature stability of high-Curie temperature CaBi2Nb2O9 ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117101})"
"(:Author {name: Mingwang Yuan,affiliation_id: 60006356})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: Guilin University of Technology,affiliation_id: 60006356})"
"(:Author {name: Mingwang Yuan,affiliation_id: 60006356})",[:WROTE],"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Enhancement of piezoelectric properties and temperature stability of high-Curie temperature CaBi2Nb2O9 ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117101})"
"(:Author {name: Jianming Deng,affiliation_id: 60013182})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: Huizhou University,affiliation_id: 60013182})"
"(:Author {name: Jianming Deng,affiliation_id: 60013182})",[:WROTE],"(:Paper {journal: Materials Today Physics,year: 2024,title: Achieving ultra-high resistivity and outstanding piezoelectric properties by co-substitution in CaBi2Nb2O9 ceramics,isOpenAccess: false,doi: 10.1016/j.mtphys.2024.101598})"
"(:Author {name: Jianming Deng,affiliation_id: 60013182})",[:WROTE],"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Enhancement of piezoelectric properties and temperature stability of high-Curie temperature CaBi2Nb2O9 ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117101})"
"(:Author {name: Feng Yan,affiliation_id: 60088063})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: China Electronic Technology Group Corporation,affiliation_id: 60088063})"
"(:Author {name: Feng Yan,affiliation_id: 60088063})",[:WROTE],"(:Paper {journal: Materials Today Physics,year: 2024,title: Achieving ultra-high resistivity and outstanding piezoelectric properties by co-substitution in CaBi2Nb2O9 ceramics,isOpenAccess: false,doi: 10.1016/j.mtphys.2024.101598})"
"(:Author {name: Feng Yan,affiliation_id: 60088063})",[:WROTE],"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Enhancement of piezoelectric properties and temperature stability of high-Curie temperature CaBi2Nb2O9 ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117101})"
"(:Author {name: Changbai Long,affiliation_id: 60018308})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: Xi'an Jiaotong University,affiliation_id: 60018308})"
"(:Author {name: Changbai Long,affiliation_id: 60018308})",[:WROTE],"(:Paper {journal: Materials Today Physics,year: 2024,title: Achieving ultra-high resistivity and outstanding piezoelectric properties by co-substitution in CaBi2Nb2O9 ceramics,isOpenAccess: false,doi: 10.1016/j.mtphys.2024.101598})"
"(:Author {name: Changbai Long,affiliation_id: 60018308})",[:WROTE],"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Enhancement of piezoelectric properties and temperature stability of high-Curie temperature CaBi2Nb2O9 ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117101})"
"(:Author {name: Dawei Wang,affiliation_id: 60018308})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: Xi'an Jiaotong University,affiliation_id: 60018308})"
"(:Author {name: Dawei Wang,affiliation_id: 60018308})",[:WROTE],"(:Paper {journal: Materials Today Physics,year: 2024,title: Achieving ultra-high resistivity and outstanding piezoelectric properties by co-substitution in CaBi2Nb2O9 ceramics,isOpenAccess: false,doi: 10.1016/j.mtphys.2024.101598})"
"(:Author {name: Dawei Wang,affiliation_id: 60018308})",[:WROTE],"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Enhancement of piezoelectric properties and temperature stability of high-Curie temperature CaBi2Nb2O9 ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117101})"
"(:Author {name: Laijun Liu,affiliation_id: 60006356})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: Guilin University of Technology,affiliation_id: 60006356})"
"(:Author {name: Laijun Liu,affiliation_id: 60006356})",[:WROTE],"(:Paper {journal: Ceramics International,year: 2024,title: The impact of chemical inhomogeneity in calcinated powders on grain growth behavior and piezoelectric properties of lead-free KNN-based ceramic,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.10.374})"
"(:Author {name: Laijun Liu,affiliation_id: 60006356})",[:WROTE],"(:Paper {journal: Materials Today Physics,year: 2024,title: Achieving ultra-high resistivity and outstanding piezoelectric properties by co-substitution in CaBi2Nb2O9 ceramics,isOpenAccess: false,doi: 10.1016/j.mtphys.2024.101598})"
"(:Author {name: Laijun Liu,affiliation_id: 60006356})",[:WROTE],"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Enhancement of piezoelectric properties and temperature stability of high-Curie temperature CaBi2Nb2O9 ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117101})"
"(:Composition {property_unit: pC/N,composition: Ca0.92(Li0.5Ce0.5)0.08Bi2Nb1.97(W2/3Mo1/3)0.03O9,property_value: 16.1})",[:BELONGS_TO],(:Family {name: Aurivillius-type})
"(:Composition {property_unit: pC/N,composition: CaBi2Nb2O9,property_value: 6})",[:BELONGS_TO],(:Family {name: Aurivillius ferroelectrics})
"(:Composition {property_unit: pC/N,composition: CaBi2Nb2O9,property_value: 6})",[:BELONGS_TO],(:Family {name: Aurivillius-type})
"(:Composition {property_unit: pC/N,composition: CaBi2Nb2O9,property_value: 6})",[:BELONGS_TO],(:Family {name: CaBi2Nb2O9})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Improved hydrostatic piezoelectric property via incorporation of porous PZT ceramics into 1–3 type PZT-polymer composites: Design to fabrication,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117046})",[:USES_METHOD],(:Method {name: Ceramic Injection Molding (CIM)})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Improved hydrostatic piezoelectric property via incorporation of porous PZT ceramics into 1–3 type PZT-polymer composites: Design to fabrication,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117046})",[:USED_SYNTHESIS_STEPS],"(:Step {steps: - Prepare CIM feedstock with KICET-PZT8 piezoelectric powder, paraffin wax, and EVA
- Fabricate preform of 1-3 type composite using CIM machine (NEX-500, NISSEI Japan)
- Sinter PZT composite preform at 1250 °C for 2 h
- Pour polymer (301, EPOTEK) into sintered preform
- Cure polymer-poured specimens at 80°C for 12 h
- Machine cured specimens into optimized shapes
- Apply room-temperature-curing silver electrodes
- Polarize by applying electric field of 2.5 kV/mm for 20 min in silicone oil bath at 120°C})"
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Improved hydrostatic piezoelectric property via incorporation of porous PZT ceramics into 1–3 type PZT-polymer composites: Design to fabrication,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117046})",[:BELONGS_TO_FAMILY],(:Family {name: PZT})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Improved hydrostatic piezoelectric property via incorporation of porous PZT ceramics into 1–3 type PZT-polymer composites: Design to fabrication,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117046})",[:MENTIONS],"(:Composition {property_unit: pC/N,composition: KICET-PZT8 with 0% porosity,property_value: 330.0})"
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Improved hydrostatic piezoelectric property via incorporation of porous PZT ceramics into 1–3 type PZT-polymer composites: Design to fabrication,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117046})",[:MENTIONS],"(:Composition {property_unit: pC/N,composition: KICET-PZT8 with 7% porosity,property_value: 320.1})"
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Improved hydrostatic piezoelectric property via incorporation of porous PZT ceramics into 1–3 type PZT-polymer composites: Design to fabrication,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117046})",[:MENTIONS],"(:Composition {property_unit: pC/N,composition: KICET-PZT8 with 13% porosity,property_value: 313.5})"
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Improved hydrostatic piezoelectric property via incorporation of porous PZT ceramics into 1–3 type PZT-polymer composites: Design to fabrication,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117046})",[:USED_PRECURSOR],(:Precursor {name: KICET-PZT8 piezoelectric powder})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Improved hydrostatic piezoelectric property via incorporation of porous PZT ceramics into 1–3 type PZT-polymer composites: Design to fabrication,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117046})",[:USED_PRECURSOR],(:Precursor {name: paraffin wax})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Improved hydrostatic piezoelectric property via incorporation of porous PZT ceramics into 1–3 type PZT-polymer composites: Design to fabrication,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117046})",[:USED_PRECURSOR],(:Precursor {name: acetic acid})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Improved hydrostatic piezoelectric property via incorporation of porous PZT ceramics into 1–3 type PZT-polymer composites: Design to fabrication,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117046})",[:USED_PRECURSOR],"(:Precursor {name: polymer (301, EPOTEK)})"
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Improved hydrostatic piezoelectric property via incorporation of porous PZT ceramics into 1–3 type PZT-polymer composites: Design to fabrication,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117046})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: SEM})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Improved hydrostatic piezoelectric property via incorporation of porous PZT ceramics into 1–3 type PZT-polymer composites: Design to fabrication,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117046})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: Impedance analyzer})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Improved hydrostatic piezoelectric property via incorporation of porous PZT ceramics into 1–3 type PZT-polymer composites: Design to fabrication,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117046})",[:HAS_KEYWORD],(:Keyword {name: Piezoelectric properties})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Improved hydrostatic piezoelectric property via incorporation of porous PZT ceramics into 1–3 type PZT-polymer composites: Design to fabrication,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117046})",[:HAS_KEYWORD],(:Keyword {name: Microstructure})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Improved hydrostatic piezoelectric property via incorporation of porous PZT ceramics into 1–3 type PZT-polymer composites: Design to fabrication,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117046})",[:HAS_KEYWORD],(:Keyword {name: FEM})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Improved hydrostatic piezoelectric property via incorporation of porous PZT ceramics into 1–3 type PZT-polymer composites: Design to fabrication,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117046})",[:HAS_KEYWORD],(:Keyword {name: Porosity})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Improved hydrostatic piezoelectric property via incorporation of porous PZT ceramics into 1–3 type PZT-polymer composites: Design to fabrication,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117046})",[:HAS_KEYWORD],(:Keyword {name: PZT})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Improved hydrostatic piezoelectric property via incorporation of porous PZT ceramics into 1–3 type PZT-polymer composites: Design to fabrication,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117046})",[:HAS_KEYWORD],(:Keyword {name: Hydrostatic equilibrium})
"(:Author {name: Il Gok Hong,affiliation_id: 60081223})",[:AFFILIATED_WITH],"(:Affiliation {country: South Korea,name: Korea Institute of Ceramic Engineering And Technology,affiliation_id: 60081223})"
"(:Author {name: Il Gok Hong,affiliation_id: 60081223})",[:WROTE],"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Improved hydrostatic piezoelectric property via incorporation of porous PZT ceramics into 1–3 type PZT-polymer composites: Design to fabrication,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117046})"
"(:Author {name: Ho Yong Shin,affiliation_id: 60081223})",[:AFFILIATED_WITH],"(:Affiliation {country: South Korea,name: Korea Institute of Ceramic Engineering And Technology,affiliation_id: 60081223})"
"(:Author {name: Ho Yong Shin,affiliation_id: 60081223})",[:WROTE],"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Improved hydrostatic piezoelectric property via incorporation of porous PZT ceramics into 1–3 type PZT-polymer composites: Design to fabrication,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117046})"
"(:Author {name: Jong Ho Kim,affiliation_id: 60081223})",[:AFFILIATED_WITH],"(:Affiliation {country: South Korea,name: Korea Institute of Ceramic Engineering And Technology,affiliation_id: 60081223})"
"(:Author {name: Jong Ho Kim,affiliation_id: 60081223})",[:WROTE],"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Improved hydrostatic piezoelectric property via incorporation of porous PZT ceramics into 1–3 type PZT-polymer composites: Design to fabrication,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117046})"
"(:Author {name: Jong In Im,affiliation_id: 60081223})",[:AFFILIATED_WITH],"(:Affiliation {country: South Korea,name: Korea Institute of Ceramic Engineering And Technology,affiliation_id: 60081223})"
"(:Author {name: Jong In Im,affiliation_id: 60081223})",[:WROTE],"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Improved hydrostatic piezoelectric property via incorporation of porous PZT ceramics into 1–3 type PZT-polymer composites: Design to fabrication,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117046})"
"(:Composition {property_unit: pC/N,composition: KICET-PZT8 with 0% porosity,property_value: 330.0})",[:BELONGS_TO],(:Family {name: PZT})
"(:Composition {property_unit: pC/N,composition: KICET-PZT8 with 7% porosity,property_value: 320.1})",[:BELONGS_TO],(:Family {name: PZT})
"(:Composition {property_unit: pC/N,composition: KICET-PZT8 with 13% porosity,property_value: 313.5})",[:BELONGS_TO],(:Family {name: PZT})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Spark plasma sintering of high-TC calcium bismuth niobate (CaBi2Nb2O9) with superior piezoelectric performance,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117065})",[:USES_METHOD],(:Method {name: Ceramic Injection Molding (CIM)})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Spark plasma sintering of high-TC calcium bismuth niobate (CaBi2Nb2O9) with superior piezoelectric performance,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117065})",[:USED_SYNTHESIS_STEPS],"(:Step {steps: - Weigh raw materials according to stoichiometric ratio
- Mix by ball-milling with ZrO2 balls in ethanol for 12 hours
- Dry the mixtures
- Calcinate at 850 °C for 2 hours
- Additional 24-hour ball-milling under same conditions
- Grind and granulate with polyvinyl alcohol (PVA) binder
- Press into discs (12 mm diameter, 1 mm thickness) under 150 MPa pressure
- Remove PVA by heating at 650 °C
- Sinter in muffle furnace (1150 °C for 3 hours for CaBi2Nb2O9, 1100-1140 °C for 3 hours for Tm-substituted CBN)
- For textured ceramics: place powders in graphite die (10 mm inner diameter), heat to 990 °C for 3 minutes at 100 °C/min under 60 MPa load
- Deform in larger graphite die (20 mm inner diameter) at 1130 °C for 5 minutes under 40 MPa load
- Anneal in muffle furnace at 1000 °C for 4 hours in air})"
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Spark plasma sintering of high-TC calcium bismuth niobate (CaBi2Nb2O9) with superior piezoelectric performance,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117065})",[:BELONGS_TO_FAMILY],(:Family {name: CaBi2Nb2O9})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Spark plasma sintering of high-TC calcium bismuth niobate (CaBi2Nb2O9) with superior piezoelectric performance,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117065})",[:MENTIONS],"(:Composition {property_unit: pC/N,composition: CaBi2Nb2O9,property_value: 6})"
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Spark plasma sintering of high-TC calcium bismuth niobate (CaBi2Nb2O9) with superior piezoelectric performance,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117065})",[:MENTIONS],"(:Composition {property_unit: pC/N,composition: CaBi2Nb2O9-5Tm,property_value: 18.0})"
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Spark plasma sintering of high-TC calcium bismuth niobate (CaBi2Nb2O9) with superior piezoelectric performance,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117065})",[:MENTIONS],"(:Composition {property_unit: pC/N,composition: CaBi2Nb2O9-4Tm,property_value: 10.8})"
